Stock Name,Day,Action,Stock Price,Cash,Shares Held,Portfolio Value,Date,Actual Sell
ASTS,29,Buy,5.239999771118164,9927.789999723434,16,10011.629996061325,2023-12-11,
ASTS,30,Buy,5.139999866485596,9922.649999856949,17,10010.029997587204,2023-12-12,
ASTS,31,Buy,5.239999771118164,9917.41000008583,18,10011.729995965958,2023-12-13,
ASTS,32,Hold,5.489999771118164,9917.41000008583,18,10016.229995965958,2023-12-14,
ASTS,33,Buy,5.440000057220459,9911.97000002861,19,10015.330001115799,2023-12-15,
ASTS,34,Buy,5.320000171661377,9906.649999856949,20,10013.050003290176,2023-12-18,
ASTS,35,Hold,5.559999942779541,9906.649999856949,20,10017.84999871254,2023-12-19,
ASTS,36,Buy,5.170000076293945,9901.479999780655,21,10010.050001382828,2023-12-20,
ASTS,37,Hold,5.809999942779541,9901.479999780655,21,10023.489998579025,2023-12-21,
ASTS,38,Hold,6.070000171661377,9901.479999780655,21,10028.950003385544,2023-12-22,
ASTS,39,Buy,6.190000057220459,9895.289999723434,22,10031.470000982285,2023-12-26,
ASTS,40,Hold,6.360000133514404,9895.289999723434,22,10035.210002660751,2023-12-27,
ASTS,41,Buy,6.179999828338623,9889.109999895096,23,10031.249995946884,2023-12-28,
ASTS,42,Buy,6.03000020980835,9883.079999685287,24,10027.800004720688,2023-12-29,
ASTS,43,Sell,4.849999904632568,9883.079999685287,24,9999.47999739647,2024-01-02,
ASTS,44,Sell,4.929999828338623,9883.079999685287,24,10001.399995565414,2024-01-03,
ASTS,45,Sell,4.820000171661377,9887.899999856949,23,9998.76000380516,2024-01-04,True
ASTS,46,Hold,5.010000228881836,9887.899999856949,23,10003.130005121231,2024-01-05,True
ASTS,47,Sell,4.940000057220459,9887.899999856949,23,10001.52000117302,2024-01-08,True
ASTS,48,Sell,4.889999866485596,9887.899999856949,23,10000.369996786118,2024-01-09,True
ASTS,49,Sell,4.949999809265137,9892.849999666214,22,10001.749995470047,2024-01-10,True
ASTS,50,Sell,4.269999980926514,9897.11999964714,21,9986.789999246597,2024-01-11,True
ASTS,51,Sell,4.164999961853027,9901.284999608994,20,9984.584998846054,2024-01-12,True
ASTS,52,Sell,4.130000114440918,9921.935000181198,15,9983.885001897812,2024-01-16,True
ASTS,53,Hold,4.28000020980835,9921.935000181198,15,9986.135003328323,2024-01-17,True
ASTS,54,Sell,4.159999847412109,9921.935000181198,15,9984.33499789238,2024-01-18,True
ASTS,55,Sell,3.0899999141693115,9921.935000181198,15,9968.284998893738,2024-01-19,True
ASTS,56,Sell,3.0999999046325684,9925.03500008583,14,9968.434998750687,2024-01-22,True
ASTS,57,Sell,3.119999885559082,9928.15499997139,13,9968.714998483658,2024-01-23,True
ASTS,58,Sell,3.0799999237060547,9931.234999895096,12,9968.194998979568,2024-01-24,True
ASTS,59,Sell,2.950000047683716,9945.985000133514,7,9966.6350004673,2024-01-25,True
ASTS,60,Sell,2.7899999618530273,9959.93499994278,2,9965.514999866486,2024-01-26,True
ASTS,61,Hold,3.069999933242798,9959.93499994278,2,9966.074999809265,2024-01-29,True
ASTS,62,Sell,2.9200000762939453,9959.93499994278,2,9965.775000095367,2024-01-30,True
ASTS,63,Sell,2.869999885559082,9959.93499994278,2,9965.674999713898,2024-01-31,True
ASTS,64,Sell,2.9000000953674316,9962.835000038147,1,9965.735000133514,2024-02-01,True
ASTS,65,Sell,2.8399999141693115,9965.674999952316,0,9965.674999952316,2024-02-02,True
ASTS,66,Sell,2.7699999809265137,9965.674999952316,0,9965.674999952316,2024-02-05,True
ASTS,67,Hold,2.880000114440918,9965.674999952316,0,9965.674999952316,2024-02-06,True
ASTS,68,Sell,2.6050000190734863,9965.674999952316,0,9965.674999952316,2024-02-07,True
ASTS,69,Hold,3.180000066757202,9965.674999952316,0,9965.674999952316,2024-02-08,True
ASTS,70,Hold,3.430000066757202,9965.674999952316,0,9965.674999952316,2024-02-09,True
ASTS,71,Hold,3.5199999809265137,9965.674999952316,0,9965.674999952316,2024-02-12,True
ASTS,72,Buy,3.1700000762939453,9962.504999876022,1,9965.674999952316,2024-02-13,True
ASTS,73,Hold,3.319999933242798,9962.504999876022,1,9965.824999809265,2024-02-14,True
ASTS,74,Hold,3.4100000858306885,9962.504999876022,1,9965.914999961853,2024-02-15,True
ASTS,75,Buy,3.430000066757202,9959.074999809265,2,9965.93499994278,2024-02-16,True
ASTS,76,Buy,3.319999933242798,9955.754999876022,3,9965.71499967575,2024-02-20,True
ASTS,77,Buy,3.1600000858306885,9952.594999790192,4,9965.235000133514,2024-02-21,True
ASTS,78,Buy,3.0899999141693115,9949.504999876022,5,9964.954999446869,2024-02-22,True
ASTS,79,Buy,2.950000047683716,9946.554999828339,6,9964.255000114441,2024-02-23,True
ASTS,80,Hold,3.200000047683716,9946.554999828339,6,9965.755000114441,2024-02-26,True
ASTS,81,Hold,3.380000114440918,9946.554999828339,6,9966.835000514984,2024-02-27,True
ASTS,82,Buy,3.190000057220459,9943.364999771118,7,9965.695000171661,2024-02-28,True
ASTS,83,Buy,3.1700000762939453,9940.194999694824,8,9965.555000305176,2024-02-29,True
ASTS,84,Buy,3.2100000381469727,9936.984999656677,9,9965.875,2024-03-01,True
ASTS,85,Buy,3.119999885559082,9933.864999771118,10,9965.064998626709,2024-03-04,True
ASTS,86,Buy,3.009999990463257,9930.854999780655,11,9963.96499967575,2024-03-05,True
ASTS,87,Hold,3.0999999046325684,9930.854999780655,11,9964.954998731613,2024-03-06,True
ASTS,88,Buy,2.950000047683716,9927.904999732971,12,9963.305000305176,2024-03-07,True
ASTS,89,Hold,3.009999990463257,9927.904999732971,12,9964.02499961853,2024-03-08,True
ASTS,90,Buy,3.049999952316284,9924.854999780655,13,9964.504999160767,2024-03-11,True
ASTS,91,Buy,2.9800000190734863,9921.874999761581,14,9963.59500002861,2024-03-12,True
ASTS,92,Hold,3.0999999046325684,9921.874999761581,14,9965.274998426437,2024-03-13,True
ASTS,93,Buy,3.0399999618530273,9918.834999799728,15,9964.434999227524,2024-03-14,True
ASTS,94,Hold,3.140000104904175,9918.834999799728,15,9965.935001373291,2024-03-15,True
ASTS,95,Buy,2.9700000286102295,9915.864999771118,16,9963.385000228882,2024-03-18,True
ASTS,96,Buy,2.859999895095825,9913.004999876022,17,9961.624998092651,2024-03-19,True
ASTS,97,Hold,2.950000047683716,9913.004999876022,17,9963.155000686646,2024-03-20,True
ASTS,98,Sell,2.7799999713897705,9913.004999876022,17,9960.264999389648,2024-03-21,True
ASTS,99,Sell,2.759999990463257,9913.004999876022,17,9959.924999713898,2024-03-22,True
ASTS,100,Hold,2.8399999141693115,9913.004999876022,17,9961.2849984169,2024-03-25,True
ASTS,101,Sell,2.809999942779541,9913.004999876022,17,9960.774998903275,2024-03-26,True
ASTS,102,Sell,2.859999895095825,9913.004999876022,17,9961.624998092651,2024-03-27,True
